name,kingdom,phylum,class,order,family,genus,species,nutritional components
Nujiang Red Camellia,Plantae,Angiosperms,Magnoliopsida,Parietales,Theaceae,Camellia,Nujiang Red Camellia,"Rich in tea polyphenols, caffeine, amino acids, vitamin C, etc. Has effects such as antioxidant, anti-fatigue, promoting metabolism, and lowering cholesterol."
Silkworm Pupa,Animalia,Arthropoda,Insecta,Lepidoptera,Bombycidae,Antheraea,Antheraea pernyi,Silkworm pupa is rich in protein and various amino acids.
Scorpion,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Buthus,Scorpion,"The Nutritional components of scorpions includes protein, fat, cholesterol, vitamin E, vitamin B2, niacin, folic acid, phosphorus, potassium, magnesium, calcium, iron, zinc, selenium, copper, etc."
Oriental migratory locust,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Locusta,Oriental migratory locust,"The Nutritional components of the Oriental migratory locust includes protein, fat, carbohydrates, trace elements, etc., with a relatively high protein content, making it a good food source."
Cicada,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Cryptotympana,Cicada,"The nymphs of cicadas contain 68.83% protein, 9.15% fat, with unsaturated fatty acids accounting for 77.27% of the total fatty acids. They contain 17 amino acids and 9 mineral elements. Every 100 grams of nymphs contain 72 grams of protein, which is 6 times that of eggs (11.8%) and 4.3 times that of lean pork (16.7%)."
Meimuna opalifera,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Meimuna,Meimuna opalifera,"The nymphs of Meimuna opalifera contain 68.83% protein, 9.15% fat, with unsaturated fatty acids accounting for 77.27% of the total fatty acids. They contain 17 amino acids and 9 mineral elements. Every 100 grams of nymphs contain 72 grams of protein, which is 6 times that of eggs (11.8%) and 4.3 times that of lean pork (16.7%)."
Cicada,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Cicada,Cicada,"Rich in protein, which is one of its main nutritional components. Contains various vitamins, such as the B-complex vitamins. Also contains minerals like calcium, phosphorus, and iron."
Bamboo Worm,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Chilo,Bamboo Worm,"Bamboo worms contain protein, fat, unsaturated fatty acids, carbohydrates, and various vitamins such as vitamin E, vitamin K, and vitamin B2. They also contain minerals like calcium, potassium, and phosphorus."
Diving Beetle,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscus,Diving Beetle,"The Nutritional components of diving beetles includes protein, fat, carbohydrates, vitamins, and minerals."
Fighting Cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,Fighting Cricket,"Contains a certain amount of protein, fat, vitamins, and minerals."
Stink bug,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Nezara,Nezara viridula,"Stink bugs are rich in protein, fatty acids, and other nutrients, and have various pharmacological effects."
Giant water bug,Animalia,Arthropoda,Insecta,Hemiptera,Belostomatidae,Lethocerus,Lethocerus americanus,"Rich in protein, vitamins, and minerals."
Longhorn beetle larva,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,Anoplophora glabripennis,"Longhorn beetle larvae are high in protein and fat, with a high water content, and have high nutritional value."
Dragonfly larva,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,Dragonfly,"The nutritional components of dragonfly larvae include high protein, low fat, a reasonable composition of amino acids, and rich mineral elements."
Bean moth larva,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Clanis,Clanis bilineata,"The nutritional components of bean moth larvae include a crude protein content of 65.5%, essential amino acids accounting for 52.84% of total amino acids, semi-essential amino acids accounting for 9.70%, crude fat content of 23.68%, unsaturated fatty acids of 64.17%, with linolenic acid reaching 36.53%."
Chinese rice grasshopper,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Oxya,Oxya chinensis,"The nutritional components of the Chinese rice grasshopper include protein, fat, carbohydrates, trace elements, etc., with a relatively high protein content, making it a good food source."
Mole cricket,Animalia,Arthropoda,Insecta,Orthoptera,Gryllotalpidae,Gryllotalpa,Gryllotalpa orientalis,"Moisture content is 6.08%, crude protein content is 66.33%, crude fat content is 1.05%, fat content is 20.11% and 26.07% (different extraction methods), total amino acid content is 54.87%, with essential amino acid content being 18.81%."
Woodworm,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Xylotrechus,Xylotrechus quadripes,Woodworms can convert wood into protein and other nutrients. They have a high protein content and contain various amino acids and other nutrients.
Bee pupa,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa,"Bee pupa is rich in protein, carbohydrates, fats, vitamins, and minerals. The protein content exceeds 20%, the vitamin A content is significantly higher than that of beef, the vitamin D content is 10 times that of dried fish oil, and it also contains various vitamins and trace elements such as zinc, iron, selenium, etc."
Palm weevil,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Rhynchophorus,Palm weevil,"Contains a certain amount of protein and fat, as well as other trace elements."
Chinese forest frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Chinese forest frog,"Forest frog oil is a precious tonic, containing protein, fat, vitamins, and trace elements. The fatty acids, proteins, amino acids, cholesterol, and other components in forest frog oil are abundant, making it a healthy functional product."
Bullfrog,Animalia,Chordata,Amphibia,Anura,Ranidae,Frog genus,Bullfrog,"The nutritional value of bullfrog is very rich. Every 100 grams of frog meat contains 19.9 grams of protein and 0.3 grams of fat, making it a high-protein, low-fat, low-cholesterol nutritional food. The internal organs and by-products of bullfrogs are rich in protein, which can be hydrolyzed to produce composite amino acids."
Stone frog,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Spiny-breasted frog genus,Spiny-breasted frog,"Stone frog is a highly nutritious edible frog. Its meat is tender and white, with a delicious taste, and is rich in protein, various vitamins, and minerals. The nutritional components of stone frog include protein, fat, calcium, phosphorus, iron, etc., making it a high-protein, low-fat, low-cholesterol nutritional food."
Tiger-striped frog,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Tiger-striped frog genus,Tiger-striped frog,"The meat of the tiger-striped frog contains high-quality protein and essential amino acids, as well as rich trace elements. The nutritional components in its muscles are abundant, including protein, fat, vitamins, and minerals."
Black-spotted pond frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Pond frog genus,Black-spotted pond frog,"There is no specific data on the Nutritional components of pond frogs, but as amphibians, their nutritional value may be similar to other frogs, containing protein, vitamins, and minerals."
Golden-lined frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Pond frog genus,Golden-lined frog,"Contains high-quality protein and essential amino acids, as well as rich trace elements. The nutritional components in its muscles are abundant, including protein, fat, vitamins, and minerals."
Marsh frog,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,Fejervarya limnocharis,"High in protein and low in fat, also contains various vitamins and minerals"
Emei tree frog,Animalia,Chordata,Amphibia,Anura,Rhacophoridae,Zhangixalus,Zhangixalus omeimontis,"High in protein and low in fat, also contains various vitamins and minerals"
Carp,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio,"Carp is high in protein and unsaturated fatty acids, as well as vitamins A, D, E, K, and B-group vitamins. Per 100 grams of carp, there are approximately 17.8 grams of protein, 5.6 grams of fat, and 66 milligrams of cholesterol"
Silver carp,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,"Silver carp is rich in protein, low in fat, and contains vitamins and minerals. Per 100 grams of silver carp, there are approximately 17.8 grams of protein, 3.6 grams of fat, and 99 milligrams of cholesterol"
Bighead carp,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Aristichthys,Bighead carp,"Bighead carp contains protein, fat, calcium, phosphorus, iron, vitamin B2, vitamin C, etc. Per 100 grams of bighead carp, there is approximately 15.3 grams of protein, 2.2 grams of fat, and 112 milligrams of cholesterol."
Japanese sea bass,Animalia,Chordata,Osteichthyes,Perciformes,Lateolabracidae,Lateolabrax,Japanese sea bass,"Japanese sea bass contains protein, fat, calcium, phosphorus, iron, zinc, selenium, etc. Per 100 grams of Japanese sea bass, there is approximately 18.6 grams of protein, 3.4 grams of fat, and 86 milligrams of cholesterol."
Bream,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Abramis,Bream,"Bream is rich in protein, phosphorus, and niacin, with a high content of unsaturated fatty acids. Per 100 grams of bream, there is approximately 18.6 grams of protein, 3.4 grams of fat, and 86 milligrams of cholesterol."
Black carp,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Mylopharyngodon,Black carp,"Black carp is a high-protein, low-fat food, with a protein content of about 20.1% and a fat content of about 4.2%. It is rich in glutamic acid, aspartic acid, and other umami components."
Trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Trout,Trout,"Trout is rich in protein, fat, vitamin A, vitamin E, vitamin B group, selenium, etc. Per 100 grams of trout contains approximately 18.6 grams of protein, 2.6 grams of fat, and 102 milligrams of cholesterol."
Ring-necked Pheasant,Animalia,Chordata,Aves,Galliformes,Phasianidae,Phasianus,Ring-necked Pheasant,"The muscle of the ring-necked pheasant contains crude protein, crude fat, inosinic acid, cholesterol, amino acids, and fatty acids. The breast muscle of the pheasant contains 17 hydrolyzed amino acids, with the highest content being glutamic acid, aspartic acid, lysine, and leucine. The total amino acid content is 33.22% to 37.26%, with the ratio of essential amino acids to total amino acids around 0.40, and the ratio of essential amino acids to non-essential amino acids above 0.60. Additionally, 22 fatty acids were detected in the breast muscle of the pheasant, with the fatty acid content in the melanized green pheasant being superior to other pheasants."
Catfish,Animalia,Chordata,Osteichthyes,Siluriformes,Siluridae,Silurus,Catfish,"Catfish is rich in protein, fat, calcium, phosphorus, zinc, magnesium, iron, iodine, and other nutrients. Per 100 grams of catfish contains approximately 17.57 grams of protein, 14.53 grams of fat, and 69 milligrams of cholesterol."
Partridge,Animalia,Chordata,Aves,Galliformes,Phasianidae,Partridge,Partridge,"Rich in protein, low in fat, contains unsaturated fatty acids, and also contains certain vitamins and minerals."
Mole,Animalia,Chordata,Mammalia,Eulipotyphla,Talpidae,Talpa,Mole,"Rich in protein, fat, and some vitamins and minerals"
Wujin Pig,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Wujin Pig,"High protein content. Intermuscular fat is 6.8%, and fat content is relatively low. Contains minerals beneficial to the human body such as calcium, iron, and zinc. Contains various vitamins, helping to meet human nutritional needs."
Cauliflower Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Elaphe,Elaphe carinata,"Cauliflower snake meat contains a large amount of protein, fat, carbohydrates, and salts such as calcium, phosphorus, and iron. It also contains vitamins A, B1, and B2."
Black-tailed Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Rat Snake,Black-tailed Snake,"The entire body of the Black-tailed Snake contains 17 types of amino acids, including lysine, leucine, aspartic acid, etc. The fatty acid components of the Black-tailed Snake include linoleic acid, palmitic acid, stearic acid, etc. Trace elements include calcium, iron, zinc, copper, etc."
Gray Rat Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Rat Snake,Gray Rat Snake,"Contains a large amount of protein, fat, carbohydrates, and salts such as calcium, phosphorus, and iron. It also contains vitamins A, B1, B2, etc."
Water Snake,Animalia,Chordata,Reptilia,Squamata,Colubridae,Elaphe,Red-spotted Snake,"Water snake meat is rich in protein, amino acids, vitamins, and minerals. Its protein contains eight essential amino acids for the human body, while the cholesterol content is very low, which has a certain effect on preventing vascular sclerosis. Water snake also contains rich nutritional components, with linoleic acid and other components in its fat."
Red Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Red Deer,"Venison contains relatively rich protein, with a content of about 19.77%. The fat content of venison is relatively low, about 1.92%. Venison also contains a certain amount of inorganic salts, sugars, and vitamins."
Altai Wapiti,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Altai Wapiti,"Venison contains relatively rich protein, with a content of about 19.77%. The fat content of venison is relatively low, about 1.92%. Venison also contains a certain amount of inorganic salts, sugars, and vitamins."
Sambar Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Sambar Deer,"Venison contains relatively rich protein, with a content of about 19.77%. The fat content of venison is relatively low, about 1.92%. Venison also contains a certain amount of inorganic salts, sugars, and vitamins."
White-tailed Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,White-tailed Deer,"Venison contains relatively rich protein, with a content of about 19.77%. The fat content of venison is relatively low, about 1.92%. Venison also contains a certain amount of inorganic salts, sugars, and vitamins."
Lizard,Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,Lizard,"Rich in protein, vitamins, and minerals"
Chinese Softshell Turtle,Animalia,Chordata,Reptilia,Testudines,Trionychidae,Pelodiscus,Chinese Softshell Turtle,"High protein content, approximately 14.9 to 17.4 grams per 100 grams, contains 8 essential amino acids, fat, vitamin B17, unsaturated fatty acids, ash, and water. Also rich in EPA and DHA, these ω-3 unsaturated fatty acids are beneficial for brain development and cardiovascular health. Rich in mineral elements such as calcium, phosphorus, and iron, which are crucial for maintaining life and normal metabolism."
Grass Turtle,Animalia,Chordata,Reptilia,Testudines,Emydidae,Mauremys,Grass Turtle,"High protein content, approximately 14.9 to 17.4 grams per 100 grams, contains 8 essential amino acids, fat, vitamin B17, unsaturated fatty acids, ash, and water. Also rich in EPA and DHA, these ω-3 unsaturated fatty acids are beneficial for brain development and cardiovascular health. Rich in mineral elements such as calcium, phosphorus, and iron, which are crucial for maintaining life and normal metabolism."
Red-eared Slider,Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,Trachemys scripta elegans,"The Nutritional components of the Brazilian turtle includes protein, fat, niacin, vitamin B1, B2, etc."
Yellow-throated terrapin,Animalia,Chordata,Reptilia,Testudines,Emydidae,Mauremys,Mauremys mutica,"The protein content in the muscle of the terrapin is about 18.2%, with relatively low fat content. The amino acid composition is similar to that of the pearl turtle, containing abundant essential amino acids."
Pearl turtle,Animalia,Chordata,Reptilia,Testudines,Trionychidae,Pelodiscus,Pelodiscus sinensis,"The meat of the pearl turtle has a high water content, with crude protein content about 17.82% and crude fat content relatively low at only 0.42%. The muscle of the pearl turtle contains a complete range of amino acids, with a rich total amino acid content, including a high proportion of essential amino acids. Additionally, the pearl turtle has a high content of unsaturated fatty acids, especially polyunsaturated fatty acids such as docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA)."
Three-lined box turtle,Animalia,Chordata,Reptilia,Testudines,Emydidae,Cuora,Cuora trifasciata,"High protein content, approximately 14.9 to 17.4 grams per 100 grams, contains 8 essential amino acids, fat, vitamin B17, unsaturated fatty acids, ash, and water. Also rich in EPA and DHA, these ω-3 unsaturated fatty acids are beneficial for brain development and cardiovascular health. Rich in mineral elements such as calcium, phosphorus, and iron, which are crucial for maintaining life and normal metabolism."
Alligator snapping turtle,Animalia,Chordata,Reptilia,Testudines,Chelydridae,Macrochelys,Macrochelys temminckii,"The protein content in alligator snapping turtle meat is as high as 19.6%, containing 18 types of amino acids, including essential amino acids for humans, such as lysine, which is particularly abundant. The meat is rich in mineral elements such as sodium, potassium, calcium, iron, magnesium, silicon, zinc, and phosphorus. Especially, the calcium content in the carapace is particularly rich, which is significant for maintaining bone health and preventing osteoporosis. The meat contains various vitamins, especially a high content of vitamin B6, which has a positive effect on human health. The meat also contains high levels of trace elements such as iron and selenium, which help in blood replenishment and antioxidant effects, and have positive effects in cancer prevention and treatment."
Chinese sturgeon,Animalia,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,Chinese sturgeon,"Very rich in protein, approximately 16.1% to 18.1%, containing various essential amino acids for the human body, including lysine, leucine, isoleucine, methionine, threonine, tryptophan, phenylalanine, and valine. It is also rich in highly unsaturated fatty acids, including DHA (docosahexaenoic acid) and EPA (eicosapentaenoic acid), known as 'brain gold', which are very beneficial for cardiovascular and cerebrovascular health, helping to soften blood vessels, promote brain development, and improve memory."
Siberian sturgeon,Animalia,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,Siberian sturgeon,"Very rich in protein, approximately 16.1% to 18.1%, containing various essential amino acids for the human body, including lysine, leucine, isoleucine, methionine, threonine, tryptophan, phenylalanine, and valine. It is also rich in highly unsaturated fatty acids, including DHA (docosahexaenoic acid) and EPA (eicosapentaenoic acid), known as 'brain gold', which are very beneficial for cardiovascular and cerebrovascular health, helping to soften blood vessels, promote brain development, and improve memory."
Dabry's sturgeon,Animalia,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,Yangtze sturgeon,"Very rich in protein, approximately 16.1% to 18.1%, containing various essential amino acids for the human body, including lysine, leucine, isoleucine, methionine, threonine, tryptophan, phenylalanine, and valine. It is also rich in highly unsaturated fatty acids, including DHA (docosahexaenoic acid) and EPA (eicosapentaenoic acid), known as 'brain gold', which are very beneficial for cardiovascular and cerebrovascular health, helping to soften blood vessels, promote brain development, and improve memory."
Sterlet,Animalia,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,Sterlet,"Very rich in protein, approximately 16.1% to 18.1%, containing various essential amino acids for the human body, including lysine, leucine, isoleucine, methionine, threonine, tryptophan, phenylalanine, and valine. It is also rich in highly unsaturated fatty acids, including DHA (docosahexaenoic acid) and EPA (eicosapentaenoic acid), known as 'brain gold', which are very beneficial for cardiovascular and cerebrovascular health, helping to soften blood vessels, promote brain development, and improve memory."
Russian sturgeon,Animalia,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,Russian sturgeon,"Very rich in protein, approximately 16.1% to 18.1%, containing various essential amino acids for the human body, including lysine, leucine, isoleucine, methionine, threonine, tryptophan, phenylalanine, and valine. It is also rich in highly unsaturated fatty acids, including DHA (docosahexaenoic acid) and EPA (eicosapentaenoic acid), known as 'brain gold', which are very beneficial for cardiovascular and cerebrovascular health, helping to soften blood vessels, promote brain development, and improve memory."
Chinese paddlefish,Animalia,Chordata,Osteichthyes,Acipenseriformes,Polyodontidae,Psephurus,Chinese paddlefish,"Very rich in protein, approximately 16.1% to 18.1%, containing various essential amino acids for the human body, including lysine, leucine, isoleucine, methionine, threonine, tryptophan, phenylalanine, and valine. It is also rich in highly unsaturated fatty acids, including DHA (docosahexaenoic acid) and EPA (eicosapentaenoic acid), known as 'brain gold', which are very beneficial for cardiovascular and cerebrovascular health, helping to soften blood vessels, promote brain development, and improve memory."
Starry sturgeon,Animalia,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,Starry sturgeon,"Very rich in protein, approximately 16.1% to 18.1%, containing various essential amino acids for the human body, including lysine, leucine, isoleucine, methionine, threonine, tryptophan, phenylalanine, and valine. It is also rich in highly unsaturated fatty acids, including DHA (docosahexaenoic acid) and EPA (eicosapentaenoic acid), known as 'brain gold', which are very beneficial for cardiovascular and cerebrovascular health, helping to soften blood vessels, promote brain development, and improve memory."
Ship sturgeon,Animalia,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,Sterlet,"Very rich in protein, approximately 16.1% to 18.1%, containing various essential amino acids for the human body, including lysine, leucine, isoleucine, methionine, threonine, tryptophan, phenylalanine, and valine. It is also rich in highly unsaturated fatty acids, including DHA (docosahexaenoic acid) and EPA (eicosapentaenoic acid), known as 'brain gold', which are very beneficial for cardiovascular and cerebrovascular health, helping to soften blood vessels, promote brain development, and improve memory."
Amur sturgeon,Animalia,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,Amur sturgeon,"Very rich in protein, approximately 16.1% to 18.1%, containing various essential amino acids for the human body, including lysine, leucine, isoleucine, methionine, threonine, tryptophan, phenylalanine, and valine. It is also rich in highly unsaturated fatty acids, including DHA (docosahexaenoic acid) and EPA (eicosapentaenoic acid), known as 'brain gold', which are very beneficial for cardiovascular and cerebrovascular health, helping to soften blood vessels, promote brain development, and improve memory."
Nile crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Nile crocodile,"Crocodile meat is an excellent source of protein, with approximately 17.80 grams of protein per 100 grams of crocodile meat. It contains a variety of essential amino acids for the human body, including lysine, leucine, and methionine. The fatty acid composition in crocodile meat is balanced, containing monounsaturated fatty acids (MUFA) and polyunsaturated fatty acids (PUFA) that are beneficial for cardiovascular health, such as ω-3 and ω-6 fatty acids. Crocodile meat contains various vitamins (such as vitamin A, E, B12) and minerals (such as calcium, phosphorus, iron, zinc), with particularly rich levels of vitamin B12 and zinc, which help support the immune system and skin health. Crocodile meat also has a high collagen content."
Saltwater crocodile,Animalia,Chordata,Reptilia,Crocodilia,Crocodylidae,Crocodylus,Saltwater crocodile,"Crocodile meat is an excellent source of protein, with approximately 17.80 grams of protein per 100 grams of crocodile meat. It contains a variety of essential amino acids for the human body, including lysine, leucine, and methionine. The fatty acid composition in crocodile meat is balanced, containing monounsaturated fatty acids (MUFA) and polyunsaturated fatty acids (PUFA) that are beneficial for cardiovascular health, such as ω-3 and ω-6 fatty acids. Crocodile meat contains various vitamins (such as vitamin A, E, B12) and minerals (such as calcium, phosphorus, iron, zinc), with particularly rich levels of vitamin B12 and zinc, which help support the immune system and skin health. Crocodile meat also has a high collagen content."
Chinese giant salamander,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,Chinese giant salamander,"The muscles and skin of the Chinese giant salamander are rich in protein, accounting for more than 90% of its dry weight, and contain a variety of essential amino acids for the human body, making it a high-quality protein source. The amino acid profile in the salamander's muscles is complete, with 8 essential amino acids making up 44.40% of the total amino acids. The fat of the salamander has a high proportion of unsaturated fatty acids, especially polyunsaturated fatty acids such as docosahexaenoic acid (DHA), which are beneficial for cardiovascular health. The muscles and skin of the salamander contain various mineral elements, such as calcium, phosphorus, potassium, sodium, magnesium, zinc, iron, copper, manganese, and selenium, with selenium content meeting the standard for selenium enrichment, which positively enhances human immunity. The skin of the salamander contains a large amount of collagen and gelatin, which have positive effects on skin health and beauty. The salamander also contains functional components such as active peptides and polysaccharide peptides, which have effects such as regulating immunity, lowering blood pressure and lipids, improving corneal endothelium, and relieving fatigue."
Eel,Animalia,Chordata,Osteichthyes,Anguilliformes,Anguillidae,Anguilla,Eel,"Rich in protein and fat, contains vitamins A, B, B12, and D, as well as DHA and EPA, and minerals such as calcium, phosphorus, and iron."
Loach,Animalia,Chordata,Osteichthyes,Cypriniformes,Cobitidae,Misgurnus,Loach,"Protein: 20.8g, Fat: 3.9g, Cholesterol: 136mg, Sodium: 57.8mg, Selenium: 33.6μg"
Asian swamp eel,Animalia,Chordata,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,Asian swamp eel,"Protein: 18.0g, Fat: 1.4g, Cholesterol: 126mg, Sodium: 70mg, Selenium: 34.6μg"
Yellow catfish,Animalia,Chordata,Actinopterygii,Siluriformes,Bagridae,Pelteobagrus,Yellow catfish,"High in protein, rich in mineral elements such as calcium, phosphorus, potassium, sodium, and magnesium, with high medicinal value."
Blackfish,Animalia,Chordata,Actinopterygii,Perciformes,Channidae,Channa,Channa argus,"Protein: 18.5g, Fat: 1.2g, Cholesterol: 91mg, Sodium: 49mg, Selenium: 24.6μg"
Pomfret,Animalia,Chordata,Actinopterygii,Perciformes,Bramidae,Pampus,Pampus argenteus,"Protein: 18.5g, Fat: 7.3g, Cholesterol: 77mg, Sodium: 62mg, Selenium: 27.2μg"
Bream,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Abramis,Bream,"Protein: 19.6g, Fat: 4.2g, Cholesterol: 55mg, Sodium: 110mg, Magnesium: 34mg, Phosphorus: 200mg"
Tilapia,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Tilapia,Tilapia,"Protein: 18.4g, Fat: 1.5g, Cholesterol: 78mg, Sodium: 20mg, Selenium: 22.6μg"
Shad,Animalia,Chordata,Osteichthyes,Clupeiformes,Clupeidae,Tenualosa,Tenualosa reevesii,"Rich in protein, fat, riboflavin, niacin, calcium, phosphorus, and iron. High in fat, rich in unsaturated fatty acids, helps lower cholesterol"
Chinese herring,Animalia,Chordata,Osteichthyes,Clupeiformes,Pristigasteridae,Ilisha,Ilisha elongata,"Rich in protein, fat, vitamin B1, B2, niacin, calcium, phosphorus, and iron. Rich in unsaturated fatty acids, helps lower cholesterol"
Yellow croaker,Animalia,Chordata,Osteichthyes,Perciformes,Sciaenidae,Larimichthys,Larimichthys polyactis,"Protein: 17.9g, Fat: 3.0g, Cholesterol: 74mg, Sodium: 103mg, Selenium: 55.2μg"
Hairtail,Animalia,Chordata,Osteichthyes,Perciformes,Trichiuridae,Trichiurus,Trichiurus lepturus,"Protein: 17.7g, Fat: 4.9g, Cholesterol: 76mg, Sodium: 150mg, Selenium: 36.6μg"
Badger,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,Meles meles,"Contains nutrients such as protein, B vitamins, vitamin E, calcium, iron, etc."
Hog badger,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Arctonyx,Arctonyx collaris,"Hog badger meat contains nutrients such as protein, B vitamins, vitamin E, calcium, iron, etc."
Yellow weasel,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,Mustela sibirica,"Contains nutrients such as protein, fat, vitamins, and minerals."
Bamboo rat,Animalia,Chordata,Mammalia,Rodentia,Rhizomyidae,Rhizomys,Rhizomys sinensis,"Nutritional components include crude protein 57.78%, crude fat 20.54%, ash 17.36%, crude fiber 0.84%, moisture 3.84%, and are also rich in phosphorus, calcium, vitamin E, and amino acids. The content of lysine, leucine, and methionine is higher than that of common poultry and livestock."
Chinese Zokor,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myospalax,Myospalax fontanierii,"Rich in protein, and also contains a variety of minerals and vitamins."
Muskrat,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,Ondatra zibethicus,"Protein content is about 20.1%, fat content is only 3.9%, rich in minerals, and the meat is tender."
Wild Yak,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos mutus,"It is a high-protein, low-fat meat, rich in amino acids, B vitamins, iron, zinc, and phosphorus."
Cattle,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,"It is a high-protein, low-fat meat, rich in amino acids, B vitamins, iron, zinc, and phosphorus."
Tibetan Sheep,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,"Contains high-quality protein and essential amino acids, as well as B vitamins, iron, zinc, and phosphorus. The fat in lamb contains a high proportion of saturated fatty acids but also provides essential fatty acids."
Tibetan Wild Ass,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Tibetan Wild Ass,"High protein, high essential amino acids, high essential fatty acids; low fat, low cholesterol, low calorie. The amino acid and fatty acid composition of donkey meat is ideal, and the iron content in mineral elements is significantly higher than that of other livestock and poultry meats."
Blue Sheep,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudois,Blue Sheep,"Contains high-quality protein and essential amino acids, as well as B vitamins, iron, zinc, and phosphorus. The fat in lamb contains a high proportion of saturated fatty acids but also provides essential fatty acids."
Ant,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,Ant,"Very high protein content, containing various essential amino acids for the human body, including 28 free amino acids. Ants are rich in vitamins, including B1, B2, B12, C, D, E, etc. Ants contain more than 20 trace elements such as calcium, iron, phosphorus, manganese, selenium, and zinc, with particularly high zinc content, reaching 120-198 mg per kilogram. Ants also contain triterpenoids, formic acid, adenosine triphosphate (ATP), and various bioactive substances such as interleukin-2."
Wild Camel,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,Wild Camel,"Its meat contains common nutrients found in other meats, such as protein, fat, vitamins, and minerals. Camel milk is considered highly nutritious, containing lactoferrin, amino acids, unsaturated fatty acids, vitamin C, vitamin E, magnesium, and other nutrients, with various bioactive properties such as antioxidant, diabetes treatment, immune regulation, and liver protection."
